,word,sentiment
0,2-faced,negative
1,2-faces,negative
2,a+,positive
3,abnormal,negative
4,abolish,negative
5,abominable,negative
6,abominably,negative
7,abominate,negative
8,abomination,negative
9,abort,negative
10,aborted,negative
11,aborts,negative
12,abound,positive
13,abounds,positive
14,abrade,negative
15,abrasive,negative
16,abrupt,negative
17,abruptly,negative
18,abscond,negative
19,absence,negative
20,absent-minded,negative
21,absentee,negative
22,absurd,negative
23,absurdity,negative
24,absurdly,negative
25,absurdness,negative
26,abundance,positive
27,abundant,positive
28,abuse,negative
29,abused,negative
30,abuses,negative
31,abusive,negative
32,abysmal,negative
33,abysmally,negative
34,abyss,negative
35,accessable,positive
36,accessible,positive
37,accidental,negative
38,acclaim,positive
39,acclaimed,positive
40,acclamation,positive
41,accolade,positive
42,accolades,positive
43,accommodative,positive
44,accomodative,positive
45,accomplish,positive
46,accomplished,positive
47,accomplishment,positive
48,accomplishments,positive
49,accost,negative
50,accurate,positive
51,accurately,positive
52,accursed,negative
53,accusation,negative
54,accusations,negative
55,accuse,negative
56,accuses,negative
57,accusing,negative
58,accusingly,negative
59,acerbate,negative
60,acerbic,negative
61,acerbically,negative
62,ache,negative
63,ached,negative
64,aches,negative
65,achey,negative
66,achievable,positive
67,achievement,positive
68,achievements,positive
69,achievible,positive
70,aching,negative
71,acrid,negative
72,acridly,negative
73,acridness,negative
74,acrimonious,negative
75,acrimoniously,negative
76,acrimony,negative
77,acumen,positive
78,adamant,negative
79,adamantly,negative
80,adaptable,positive
81,adaptive,positive
82,addict,negative
83,addicted,negative
84,addicting,negative
85,addicts,negative
86,adequate,positive
87,adjustable,positive
88,admirable,positive
89,admirably,positive
90,admiration,positive
91,admire,positive
92,admirer,positive
93,admiring,positive
94,admiringly,positive
95,admonish,negative
96,admonisher,negative
97,admonishingly,negative
98,admonishment,negative
99,admonition,negative
100,adorable,positive
101,adore,positive
102,adored,positive
103,adorer,positive
104,adoring,positive
105,adoringly,positive
106,adroit,positive
107,adroitly,positive
108,adulate,positive
109,adulation,positive
110,adulatory,positive
111,adulterate,negative
112,adulterated,negative
113,adulteration,negative
114,adulterier,negative
115,advanced,positive
116,advantage,positive
117,advantageous,positive
118,advantageously,positive
119,advantages,positive
120,adventuresome,positive
121,adventurous,positive
122,adversarial,negative
123,adversary,negative
124,adverse,negative
125,adversity,negative
126,advocate,positive
127,advocated,positive
128,advocates,positive
129,affability,positive
130,affable,positive
131,affably,positive
132,affectation,positive
133,affection,positive
134,affectionate,positive
135,affinity,positive
136,affirm,positive
137,affirmation,positive
138,affirmative,positive
139,afflict,negative
140,affliction,negative
141,afflictive,negative
142,affluence,positive
143,affluent,positive
144,afford,positive
145,affordable,positive
146,affordably,positive
147,affront,negative
148,afordable,positive
149,afraid,negative
150,aggravate,negative
151,aggravating,negative
152,aggravation,negative
153,aggression,negative
154,aggressive,negative
155,aggressiveness,negative
156,aggressor,negative
157,aggrieve,negative
158,aggrieved,negative
159,aggrivation,negative
160,aghast,negative
161,agile,positive
162,agilely,positive
163,agility,positive
164,agonies,negative
165,agonize,negative
166,agonizing,negative
167,agonizingly,negative
168,agony,negative
169,agreeable,positive
170,agreeableness,positive
171,agreeably,positive
172,aground,negative
173,ail,negative
174,ailing,negative
175,ailment,negative
176,aimless,negative
177,alarm,negative
178,alarmed,negative
179,alarming,negative
180,alarmingly,negative
181,alienate,negative
182,alienated,negative
183,alienation,negative
184,all-around,positive
185,allegation,negative
186,allegations,negative
187,allege,negative
188,allergic,negative
189,allergies,negative
190,allergy,negative
191,alluring,positive
192,alluringly,positive
193,aloof,negative
194,altercation,negative
195,altruistic,positive
196,altruistically,positive
197,amaze,positive
198,amazed,positive
199,amazement,positive
200,amazes,positive
201,amazing,positive
