순,등록번호,청구기호,서명,저작자,편/권차,발행자,발행년,가격,자료실명
1,EM0000450473,J340-손94ㅅ,신문이 보이고 뉴스가 들리는 정치이야기,손혜령 지음  ; 김효은 그림,,거인,2019,10000,임시자료실
2,EM0000450544,J691-하69ㄷ,(똑똑해지는) 둘이서 하는 숨은그림찾기,하이라이츠 편집부 [편],,아라미키즈,2019,10000,임시자료실
3,EM0000450676,J811.8-김73ㅇ,오줌폭탄  : 김정희 동시집,글쓴이: 김정희  ;  그린이: 백금아,,한그루,2019,12000,임시자료실
4,EM0000450723,J811.8-권64ㅁ,멸치 똥  : 권영상 시,권영상 지음  ; 장경혜 그림,,위즈덤하우스,2019,12000,임시자료실
5,EM0000450773,029.1-백17,100권의 그림책  : 어린이 교육 전문가가 엄선한,"현은자, 김정준, 연혜민, 김민정, 김현경, 장시경",,씨유피(CUP),2019,22000,임시자료실
6,EM0000450782,004-한65ㅎ,한 권으로 시작하는 소프트웨어  : 모두를 위한 소프트웨어 입문서,한옥영 지음,,사람의무늬,2019,16000,임시자료실
7,EM0000450787,199.1-시231ㅇ,인생이 잘 풀리는 철학적 사고술  : 니체가 알려주는 후회 없는 인생을 살아가는 법,시라토리 하루히코 지음  ; 박재현 옮김,,샘터,2017,10000,임시자료실
8,EM0000450788,029.4-김53ㅊ,책으로 치유하는 시간  : 세계문학으로 읽는 상처 테라피,김세라 지음,,보아스,2019,15000,임시자료실
9,EM0000450790,029.4-김44ㅊ,초서(抄書) 독서법  : 읽고 가려 뽑아 내 글로 정리하는 힘,김병완 지음,,청림출판,2019,14000,임시자료실
10,EM0000450814,189-치61ㅅ-1,설득의 심리학 . 1-3,로버트 치알디니 외 지음 ;  황혜숙 외 옮김,1,북이십일,2013,18000,임시자료실
11,EM0000450817,325.211-야31ㅅ,쇠퇴하는 아저씨 사회의 처방전  : 너무 빨리 아저씨가 되어 버린 사람들을 위하여,야마구치 슈 지음  ; 이연희 옮김,,한스미디어,2019,15000,임시자료실
12,EM0000450818,165.47-예73ㅅ,"쇼펜하우어, 딱 좋은 고독",예저우 지음  ; 이영주 옮김,,오렌지연필,2019,14000,임시자료실
13,EM0000450832,152.222-노71ㅇ,인생의 절반쯤 왔을 때 읽어야 할 도덕경  : 삶의 순리를 깨달을 때면 도덕경이 들린다,노자 지음  ; 박훈 옮김,,탐나는책,2019,12000,임시자료실
14,EM0000450841,180-우33ㅌ,퇴근길 심리학 공부  : 누구나 알지만 쉽게 보는 생활 속 심리학,지은이: 우멍쓰  ; 옮긴이: 송은진,,레몬북스,2019,13800,임시자료실
15,EM0000450850,229-달231ㄷ,"달라이 라마, 죽음을 말하다  : 죽음에 대하여, '강력한 선함'을 지닌 채 살아감에 대하여",달라이 라마 가르침  ; 제프리 홉킨스 편역  ; 이종복 옮김,,담앤북스,2019,16000,임시자료실
16,EM0000450852,224.3-도239ㄷ,도리의 수행이야기  : 합일과 자각을 위한 호흡과 명상,지은이: 도리비달,,바른북스,2019,25000,임시자료실
17,EM0000450868,549.22-정14ㅎ,한국의 불탑,정계준 지음,,아우룸,2019,25000,임시자료실
18,EM0000450869,598.132-미823ㅇ,(노력할수록 상처받는 엄마를 위한) 아들 공부,메그 미커 지음  ; 장원철 옮김,,스몰빅에듀,2019,15000,임시자료실
19,EM0000450874,청331-강73ㅅ,4차산업 사회로 떠나는 생각여행  : 생각이 자라는 청소년 토론 교실,강정훈 지음,,한나래플러스,2019,13000,임시자료실
20,EM0000450882,청373.4-김39ㄱ,공부 잘하는 친구의 멘탈 공부법  : 명문고 현직 교사가 알려주는 공잘친의 자기관리 수능비법!,김민진 지음,,푸른영토,2019,15000,임시자료실
21,EM0000450894,청199-위831ㄴ,나를 좋아하지 않는 나에게  : 학교에서 가르쳐주지 않는 사춘기 소녀 성장 매뉴얼,크리스티나 드 위타 지음  ; 김인경 옮김,,리듬문고,2019,13000,임시자료실
22,EM0000450895,327.856-유35ㄴ,나의 월급 독립 프로젝트  : 3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계,유목민 지음,,리더스북,2019,18000,임시자료실
23,EM0000450898,327.87-정69ㄴ,내가 6개월 만에 건물주가 될 수 있었던 이유  : 18년 동안 평범한 월급쟁이로 살았던 정대리의 富동산 추월차선,정일교 지음,,치읓,2019,16000,임시자료실
24,EM0000450902,340.911-김66ㄷ,"대한민국 부당거래  : 권력, 검찰 그리고 언론","김요한, 김정필 지음",,지식의숲,2019,16500,임시자료실
25,EM0000450904,595.4-임221ㄸ,딱 1년만 옷 안사고 살아보기,임다혜 지음,,잇콘,2019,15000,임시자료실
26,EM0000450915,325.93-윤51ㅂ,반나절 회계기초  : 궁금해? 반나절만 읽어봐,윤상철 지음,,Samil(삼일인포마인),2019,12000,임시자료실
27,EM0000450919,327.04-제69ㅂ,부자의 자세  : 부자가 되고 싶다면 부자처럼 행동하라,제이원 지음,,좋은연필,2019,13000,임시자료실
28,EM0000450932,327.87-제58ㅅ,(평생 월급 가져다주는) 소액 부동산 투자가 정답니다,제승욱 지음,,미다스북스,2019,15000,임시자료실
29,EM0000450941,181.53-미821ㅇ,아이디어가 폭발하는 생각법,마이클 미칼코 지음  ; 박종안 옮김,,트로이목마,2019,17500,임시자료실
30,EM0000450960,청373.4-이812ㅈ,전교 꼴찌도 1등으로 만드는 혼공습관  : 혼자 공부하는 습관이 공신을 만든다!,이채원 지음,,미다스북스,2019,15000,임시자료실
