params,mean_test_score,rank_test_score
"{'learning_rate': 0.029599999999999977, 'max_depth': 2, 'n_estimator': 1900}",0.37943517239002506,1
"{'learning_rate': 0.029599999999999977, 'max_depth': 2, 'n_estimator': 1000}",0.37943517239002506,1
"{'learning_rate': 0.029599999999999977, 'max_depth': 2, 'n_estimator': 1100}",0.37943517239002506,1
"{'learning_rate': 0.029599999999999977, 'max_depth': 2, 'n_estimator': 1200}",0.37943517239002506,1
"{'learning_rate': 0.029599999999999977, 'max_depth': 2, 'n_estimator': 1300}",0.37943517239002506,1
"{'learning_rate': 0.029599999999999977, 'max_depth': 2, 'n_estimator': 1400}",0.37943517239002506,1
"{'learning_rate': 0.029599999999999977, 'max_depth': 2, 'n_estimator': 1500}",0.37943517239002506,1
"{'learning_rate': 0.029599999999999977, 'max_depth': 2, 'n_estimator': 1600}",0.37943517239002506,1
"{'learning_rate': 0.029599999999999977, 'max_depth': 2, 'n_estimator': 1700}",0.37943517239002506,1
"{'learning_rate': 0.029599999999999977, 'max_depth': 2, 'n_estimator': 1800}",0.37943517239002506,1
"{'learning_rate': 0.029799999999999976, 'max_depth': 2, 'n_estimator': 1800}",0.3792431213657809,11
"{'learning_rate': 0.029799999999999976, 'max_depth': 2, 'n_estimator': 1700}",0.3792431213657809,11
"{'learning_rate': 0.029799999999999976, 'max_depth': 2, 'n_estimator': 1600}",0.3792431213657809,11
"{'learning_rate': 0.029799999999999976, 'max_depth': 2, 'n_estimator': 1500}",0.3792431213657809,11
"{'learning_rate': 0.029799999999999976, 'max_depth': 2, 'n_estimator': 1400}",0.3792431213657809,11
"{'learning_rate': 0.029799999999999976, 'max_depth': 2, 'n_estimator': 1300}",0.3792431213657809,11
"{'learning_rate': 0.029799999999999976, 'max_depth': 2, 'n_estimator': 1200}",0.3792431213657809,11
"{'learning_rate': 0.029799999999999976, 'max_depth': 2, 'n_estimator': 1100}",0.3792431213657809,11
"{'learning_rate': 0.029799999999999976, 'max_depth': 2, 'n_estimator': 1000}",0.3792431213657809,11
"{'learning_rate': 0.029799999999999976, 'max_depth': 2, 'n_estimator': 1900}",0.3792431213657809,11
"{'learning_rate': 0.02909999999999998, 'max_depth': 2, 'n_estimator': 1000}",0.3791843882860949,21
"{'learning_rate': 0.02909999999999998, 'max_depth': 2, 'n_estimator': 1100}",0.3791843882860949,21
"{'learning_rate': 0.02909999999999998, 'max_depth': 2, 'n_estimator': 1200}",0.3791843882860949,21
"{'learning_rate': 0.02909999999999998, 'max_depth': 2, 'n_estimator': 1300}",0.3791843882860949,21
"{'learning_rate': 0.02909999999999998, 'max_depth': 2, 'n_estimator': 1400}",0.3791843882860949,21
"{'learning_rate': 0.02909999999999998, 'max_depth': 2, 'n_estimator': 1500}",0.3791843882860949,21
"{'learning_rate': 0.02909999999999998, 'max_depth': 2, 'n_estimator': 1600}",0.3791843882860949,21
"{'learning_rate': 0.02909999999999998, 'max_depth': 2, 'n_estimator': 1700}",0.3791843882860949,21
"{'learning_rate': 0.02909999999999998, 'max_depth': 2, 'n_estimator': 1800}",0.3791843882860949,21
"{'learning_rate': 0.02909999999999998, 'max_depth': 2, 'n_estimator': 1900}",0.3791843882860949,21
"{'learning_rate': 0.029899999999999975, 'max_depth': 2, 'n_estimator': 1800}",0.3791591699669828,31
"{'learning_rate': 0.029899999999999975, 'max_depth': 2, 'n_estimator': 1700}",0.3791591699669828,31
"{'learning_rate': 0.029899999999999975, 'max_depth': 2, 'n_estimator': 1600}",0.3791591699669828,31
"{'learning_rate': 0.029899999999999975, 'max_depth': 2, 'n_estimator': 1500}",0.3791591699669828,31
"{'learning_rate': 0.029899999999999975, 'max_depth': 2, 'n_estimator': 1400}",0.3791591699669828,31
"{'learning_rate': 0.029899999999999975, 'max_depth': 2, 'n_estimator': 1300}",0.3791591699669828,31
"{'learning_rate': 0.029899999999999975, 'max_depth': 2, 'n_estimator': 1200}",0.3791591699669828,31
"{'learning_rate': 0.029899999999999975, 'max_depth': 2, 'n_estimator': 1100}",0.3791591699669828,31
"{'learning_rate': 0.029899999999999975, 'max_depth': 2, 'n_estimator': 1000}",0.3791591699669828,31
"{'learning_rate': 0.029899999999999975, 'max_depth': 2, 'n_estimator': 1900}",0.3791591699669828,31
"{'learning_rate': 0.028199999999999985, 'max_depth': 2, 'n_estimator': 1800}",0.3790982260189679,41
"{'learning_rate': 0.028199999999999985, 'max_depth': 2, 'n_estimator': 1700}",0.3790982260189679,41
"{'learning_rate': 0.028199999999999985, 'max_depth': 2, 'n_estimator': 1600}",0.3790982260189679,41
"{'learning_rate': 0.028199999999999985, 'max_depth': 2, 'n_estimator': 1500}",0.3790982260189679,41
"{'learning_rate': 0.028199999999999985, 'max_depth': 2, 'n_estimator': 1100}",0.3790982260189679,41
"{'learning_rate': 0.028199999999999985, 'max_depth': 2, 'n_estimator': 1300}",0.3790982260189679,41
"{'learning_rate': 0.028199999999999985, 'max_depth': 2, 'n_estimator': 1200}",0.3790982260189679,41
"{'learning_rate': 0.028199999999999985, 'max_depth': 2, 'n_estimator': 1000}",0.3790982260189679,41
"{'learning_rate': 0.028199999999999985, 'max_depth': 2, 'n_estimator': 1900}",0.3790982260189679,41
"{'learning_rate': 0.028199999999999985, 'max_depth': 2, 'n_estimator': 1400}",0.3790982260189679,41
"{'learning_rate': 0.029699999999999976, 'max_depth': 2, 'n_estimator': 1400}",0.3783037279513686,51
"{'learning_rate': 0.029699999999999976, 'max_depth': 2, 'n_estimator': 1200}",0.3783037279513686,51
"{'learning_rate': 0.029699999999999976, 'max_depth': 2, 'n_estimator': 1300}",0.3783037279513686,51
"{'learning_rate': 0.029699999999999976, 'max_depth': 2, 'n_estimator': 1500}",0.3783037279513686,51
"{'learning_rate': 0.029699999999999976, 'max_depth': 2, 'n_estimator': 1000}",0.3783037279513686,51
"{'learning_rate': 0.029699999999999976, 'max_depth': 2, 'n_estimator': 1700}",0.3783037279513686,51
"{'learning_rate': 0.029699999999999976, 'max_depth': 2, 'n_estimator': 1800}",0.3783037279513686,51
"{'learning_rate': 0.029699999999999976, 'max_depth': 2, 'n_estimator': 1900}",0.3783037279513686,51
"{'learning_rate': 0.029699999999999976, 'max_depth': 2, 'n_estimator': 1600}",0.3783037279513686,51
"{'learning_rate': 0.029699999999999976, 'max_depth': 2, 'n_estimator': 1100}",0.3783037279513686,51
"{'learning_rate': 0.027999999999999987, 'max_depth': 2, 'n_estimator': 1300}",0.37829451097853417,61
"{'learning_rate': 0.027999999999999987, 'max_depth': 2, 'n_estimator': 1200}",0.37829451097853417,61
"{'learning_rate': 0.027999999999999987, 'max_depth': 2, 'n_estimator': 1400}",0.37829451097853417,61
"{'learning_rate': 0.027999999999999987, 'max_depth': 2, 'n_estimator': 1500}",0.37829451097853417,61
"{'learning_rate': 0.027999999999999987, 'max_depth': 2, 'n_estimator': 1600}",0.37829451097853417,61
"{'learning_rate': 0.027999999999999987, 'max_depth': 2, 'n_estimator': 1700}",0.37829451097853417,61
"{'learning_rate': 0.027999999999999987, 'max_depth': 2, 'n_estimator': 1800}",0.37829451097853417,61
"{'learning_rate': 0.027999999999999987, 'max_depth': 2, 'n_estimator': 1900}",0.37829451097853417,61
"{'learning_rate': 0.027999999999999987, 'max_depth': 2, 'n_estimator': 1000}",0.37829451097853417,61
"{'learning_rate': 0.027999999999999987, 'max_depth': 2, 'n_estimator': 1100}",0.37829451097853417,61
