구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주
2010년01월,1737.41,1662.34,1651.80,1667.58,1644.06,1668.15,1649.97,1669.18,1658.20,1652.14,1657.94,1640.51,1645.18,1644.32,1656.49,1690.73
2010년02월,1735.86,1661.70,1653.70,1670.40,1652.79,1669.23,1652.29,1670.98,1661.03,1655.19,1660.82,1643.61,1648.62,1649.05,1658.66,1694.19
2010년03월,1766.97,1688.07,1679.76,1700.04,1696.37,1696.23,1677.40,1698.51,1689.06,1681.53,1685.72,1679.03,1678.90,1672.08,1680.66,1729.79
2010년04월,1793.61,1730.27,1718.99,1726.73,1722.45,1727.63,1718.30,1728.49,1722.50,1716.17,1718.31,1716.59,1711.01,1710.33,1715.67,1752.08
2010년05월,1787.39,1743.80,1730.93,1730.24,1723.94,1738.13,1732.06,1732.58,1733.64,1728.22,1729.59,1718.65,1720.56,1725.72,1728.44,1736.23
2010년06월,1777.13,1724.14,1708.96,1717.45,1699.32,1719.34,1712.41,1718.99,1721.05,1710.81,1710.53,1692.90,1701.43,1705.66,1710.13,1731.55
2010년07월,1782.48,1727.49,1711.97,1723.89,1707.73,1724.40,1721.53,1725.26,1728.41,1719.28,1719.57,1705.95,1710.06,1713.45,1717.72,1740.46
2010년08월,1778.08,1718.93,1708.55,1717.54,1695.02,1719.75,1718.26,1718.38,1725.44,1712.45,1712.83,1695.90,1701.94,1706.93,1712.38,1736.31
2010년09월,1760.03,1705.89,1693.76,1699.98,1678.21,1708.88,1710.23,1700.74,1708.86,1697.24,1699.32,1681.54,1687.26,1692.74,1695.51,1723.05
2010년10월,1761.41,1699.30,1685.05,1702.94,1683.59,1705.62,1701.40,1701.60,1705.01,1696.77,1699.12,1685.57,1688.62,1689.62,1693.73,1725.57
2010년11월,1779.75,1716.89,1698.83,1722.35,1706.56,1718.33,1710.98,1718.98,1721.80,1711.26,1714.99,1705.37,1707.92,1704.36,1708.75,1739.81
2010년12월,1842.42,1777.50,1759.57,1785.06,1768.52,1769.21,1763.20,1776.74,1774.59,1760.51,1765.08,1752.87,1762.19,1756.23,1762.73,1804.31
2011년01월,1887.72,1832.74,1820.60,1837.35,1819.37,1826.12,1819.90,1829.43,1824.10,1818.31,1820.93,1804.23,1814.58,1815.71,1821.04,1848.72
2011년02월,1908.12,1855.13,1842.68,1857.14,1843.27,1855.53,1845.41,1854.97,1848.24,1846.46,1848.42,1837.06,1837.21,1837.01,1844.54,1866.80
2011년03월,1998.95,1944.49,1928.67,1942.73,1931.19,1947.85,1933.76,1945.95,1935.05,1933.19,1937.68,1929.03,1928.50,1925.99,1929.24,1951.12
2011년04월,2005.29,1954.13,1938.58,1955.59,1923.99,1956.10,1950.43,1956.97,1950.28,1949.03,1952.59,1943.28,1934.21,1945.57,1946.34,1940.63
2011년05월,2003.43,1944.71,1929.09,1948.98,1907.80,1941.90,1941.97,1946.64,1942.47,1932.26,1935.98,1922.12,1916.56,1933.22,1930.22,1935.41
2011년06월,1985.47,1921.13,1907.01,1928.43,1890.90,1915.69,1917.56,1924.35,1920.76,1907.75,1910.25,1897.34,1895.06,1908.73,1903.98,1921.09
2011년07월,2013.49,1942.09,1926.10,1954.79,1914.48,1940.81,1931.20,1944.92,1935.65,1926.14,1927.92,1919.13,1915.11,1923.93,1919.46,1938.91
2011년08월,2019.34,1946.70,1935.41,1953.07,1925.30,1953.64,1935.23,1950.57,1950.32,1941.96,1944.88,1931.14,1931.66,1935.46,1932.93,1941.65
2011년09월,2032.73,1939.93,1928.64,1958.58,1926.54,1949.97,1926.83,1955.69,1949.07,1941.10,1942.64,1927.67,1929.09,1924.89,1929.22,1967.16
2011년10월,2053.06,1975.48,1962.61,1991.52,1968.63,1981.71,1963.92,1988.30,1983.34,1974.34,1976.00,1966.27,1966.58,1960.91,1964.79,1987.37
2011년11월,2036.37,1977.11,1969.54,1983.76,1963.07,1985.09,1968.53,1985.19,1986.27,1981.31,1985.68,1976.59,1972.56,1970.93,1972.39,1958.76
2011년12월,2001.68,1943.51,1930.74,1941.12,1904.46,1948.87,1932.43,1947.35,1947.37,1945.39,1955.91,1934.89,1928.94,1929.00,1940.42,1921.16
2012년01월,2027.41,1955.71,1940.57,1963.34,1924.53,1963.33,1946.04,1964.93,1955.69,1952.95,1962.73,1940.75,1935.78,1937.65,1944.74,1971.75
2012년02월,2058.53,1984.96,1975.89,1997.54,1968.15,1994.18,1975.52,1996.29,1987.00,1983.29,1990.67,1972.98,1968.07,1970.84,1974.95,1993.87
2012년03월,2103.23,2027.78,2019.11,2035.59,2021.32,2029.86,2016.27,2039.28,2028.54,2027.25,2032.06,2022.09,2014.11,2014.12,2016.89,2036.71
2012년04월,2129.91,2058.26,2044.97,2060.53,2047.38,2059.83,2042.20,2067.46,2058.77,2059.56,2064.45,2046.88,2045.39,2042.29,2045.05,2071.83
2012년05월,2100.38,2037.39,2019.51,2029.71,2010.95,2031.43,2024.44,2040.36,2038.72,2038.54,2049.20,2025.74,2025.81,2022.16,2026.50,2029.53
2012년06월,2036.43,1971.99,1943.97,1964.49,1938.07,1962.29,1955.22,1973.79,1969.20,1971.53,1984.91,1959.69,1961.78,1955.43,1958.88,1954.77
2012년07월,1980.42,1903.20,1876.55,1905.74,1875.31,1898.48,1887.78,1911.46,1900.97,1902.20,1913.38,1892.89,1889.86,1881.00,1884.07,1910.73
2012년08월,2057.79,1972.83,1947.47,1980.67,1950.91,1973.49,1958.50,1985.64,1976.12,1967.05,1970.81,1958.18,1954.35,1948.21,1953.25,2014.85
2012년09월,2096.55,2021.82,2007.23,2027.05,2003.92,2030.07,2015.46,2032.20,2025.14,2022.03,2029.09,2017.34,2015.86,2009.98,2011.17,2019.64
2012년10월,2075.83,2000.53,1986.23,2003.90,1980.79,2004.59,1996.78,2009.99,2007.09,2007.74,2015.17,2000.54,2000.16,1993.02,1995.89,1983.73
2012년11월,2025.77,1946.00,1924.67,1942.74,1922.43,1957.22,1942.29,1960.68,1957.98,1964.07,1973.29,1956.29,1951.34,1941.39,1943.83,1937.12
2012년12월,2013.88,1924.77,1905.60,1933.16,1903.88,1939.73,1922.66,1943.47,1936.54,1941.48,1952.56,1930.79,1926.38,1916.35,1920.36,1923.95
2013년01월,2005.08,1914.81,1898.64,1927.36,1897.49,1925.69,1907.18,1932.31,1924.83,1927.66,1937.07,1917.85,1915.05,1904.69,1909.63,1938.53
