구분,자동차용경유
08년05월,1683.31
08년06월,1761.45
08년07월,1745.36
08년08월,1540.54
08년09월,1517.73
08년10월,1415.01
08년11월,1258.52
08년12월,1167.55
09년01월,1211.56
09년02월,1164.97
09년03월,1177.61
09년04월,1206.55
09년05월,1210.78
09년06월,1300.16
09년07월,1292.68
09년08월,1352.96
09년09월,1306.92
09년10월,1297.21
09년11월,1350.87
09년12월,1320.76
10년01월,1341.18
10년02월,1328.71
10년03월,1372.53
10년04월,1410.78
10년05월,1397.96
10년06월,1401.63
10년07월,1385.54
10년08월,1391.86
10년09월,1372.66
10년10월,1407.04
10년11월,1422.97
10년12월,1476.18
11년01월,1535.20
11년02월,1565.56
11년03월,1678.96
11년04월,1682.85
11년05월,1611.91
11년06월,1603.93
11년07월,1628.39
11년08월,1606.26
11년09월,1637.54
11년10월,1662.52
11년11월,1678.35
11년12월,1651.74
12년01월,1723.03
12년02월,1722.23
12년03월,1745.47
12년04월,1744.27
12년05월,1683.37
12년06월,1606.81
12년07월,1643.22
12년08월,1704.78
12년09월,1734.51
12년10월,1679.49
12년11월,1643.32
12년12월,1641.39
13년01월,1635.83
13년02월,1704.24
13년03월,1638.49
13년04월,1601.45
13년05월,1587.44
13년06월,1620.44
13년07월,1639.22
13년08월,1625.65
13년09월,1622.92
13년10월,1593.85
13년11월,1597.02
13년12월,1622.34
14년01월,1582.60
14년02월,1597.52
14년03월,1587.77
14년04월,1563.29
14년05월,1548.79
14년06월,1539.03
14년07월,1519.20
14년08월,1497.33
14년09월,1482.03
14년10월,1430.30
14년11월,1394.06
14년12월,1275.47
15년01월,1147.83
15년02월,1199.85
15년03월,1226.28
15년04월,1209.56
15년05월,1266.21
15년06월,1252.79
15년07월,1199.67
15년08월,1144.44
15년09월,1149.41
15년10월,1141.66
15년11월,1127.61
15년12월,1066.80
16년01월,979.14
16년02월,990.95
16년03월,1032.83
16년04월,1034.48
16년05월,1101.10
16년06월,1130.16
16년07월,1108.59
16년08월,1074.54
16년09월,1078.72
16년10월,1128.14
16년11월,1118.35
16년12월,1178.49
17년01월,1213.55
17년02월,1184.34
17년03월,1163.09
17년04월,1179.78
17년05월,1143.89
17년06월,1108.43
17년07월,1138.28
17년08월,1154.26
17년09월,1186.49
17년10월,1196.98
17년11월,1223.06
17년12월,1232.96
18년01월,1260.52
18년02월,1257.27
18년03월,1239.55
18년04월,1280.43
18년05월,1321.28
18년06월,1311.33
18년07월,1340.87
18년08월,1335.71
18년09월,1385.46
18년10월,1414.70
18년11월,1233.38
18년12월,1139.33
19년01월,1126.55
19년02월,1165.15
19년03월,1207.48
19년04월,1226.18
19년05월,1275.27
19년06월,1236.53
19년07월,1250.19
19년08월,1248.32
19년09월,1303.14
19년10월,1290.65
19년11월,1308.63
19년12월,1326.24
20년01월,1307.30
