year_local,area,year,재배면적 (ha)
2010_부산광역시,부산광역시,2010,16
2011_부산광역시,부산광역시,2011,6
2012_부산광역시,부산광역시,2012,13
2013_부산광역시,부산광역시,2013,23
2014_부산광역시,부산광역시,2014,16
2015_부산광역시,부산광역시,2015,17
2016_부산광역시,부산광역시,2016,21
2017_부산광역시,부산광역시,2017,10
2018_부산광역시,부산광역시,2018,31
2019_부산광역시,부산광역시,2019,16
2010_대구광역시,대구광역시,2010,147
2011_대구광역시,대구광역시,2011,137
2012_대구광역시,대구광역시,2012,129
2013_대구광역시,대구광역시,2013,81
2014_대구광역시,대구광역시,2014,120
2015_대구광역시,대구광역시,2015,63
2016_대구광역시,대구광역시,2016,217
2017_대구광역시,대구광역시,2017,236
2018_대구광역시,대구광역시,2018,263
2019_대구광역시,대구광역시,2019,311
2010_인천광역시,인천광역시,2010,24
2011_인천광역시,인천광역시,2011,25
2012_인천광역시,인천광역시,2012,35
2013_인천광역시,인천광역시,2013,25
2014_인천광역시,인천광역시,2014,33
2015_인천광역시,인천광역시,2015,25
2016_인천광역시,인천광역시,2016,35
2017_인천광역시,인천광역시,2017,32
2018_인천광역시,인천광역시,2018,35
2019_인천광역시,인천광역시,2019,52
2010_광주광역시,광주광역시,2010,76
2011_광주광역시,광주광역시,2011,167
2012_광주광역시,광주광역시,2012,126
2013_광주광역시,광주광역시,2013,58
2014_광주광역시,광주광역시,2014,83
2015_광주광역시,광주광역시,2015,93
2016_광주광역시,광주광역시,2016,43
2017_광주광역시,광주광역시,2017,48
2018_광주광역시,광주광역시,2018,65
2019_광주광역시,광주광역시,2019,33
2010_대전광역시,대전광역시,2010,2
2011_대전광역시,대전광역시,2011,4
2012_대전광역시,대전광역시,2012,3
2013_대전광역시,대전광역시,2013,3
2014_대전광역시,대전광역시,2014,4
2015_대전광역시,대전광역시,2015,1
2016_대전광역시,대전광역시,2016,2
2017_대전광역시,대전광역시,2017,5
2018_대전광역시,대전광역시,2018,5
2019_대전광역시,대전광역시,2019,4
2010_울산광역시,울산광역시,2010,46
2011_울산광역시,울산광역시,2011,55
2012_울산광역시,울산광역시,2012,46
2013_울산광역시,울산광역시,2013,37
2014_울산광역시,울산광역시,2014,62
2015_울산광역시,울산광역시,2015,36
2016_울산광역시,울산광역시,2016,19
2017_울산광역시,울산광역시,2017,18
2018_울산광역시,울산광역시,2018,65
2019_울산광역시,울산광역시,2019,52
2010_경기도,경기도,2010,41
2011_경기도,경기도,2011,74
2012_경기도,경기도,2012,158
2013_경기도,경기도,2013,90
2014_경기도,경기도,2014,217
2015_경기도,경기도,2015,177
2016_경기도,경기도,2016,217
2017_경기도,경기도,2017,280
2018_경기도,경기도,2018,509
2019_경기도,경기도,2019,493
2010_강원도,강원도,2010,53
2011_강원도,강원도,2011,22
2012_강원도,강원도,2012,30
2013_강원도,강원도,2013,37
2014_강원도,강원도,2014,59
2015_강원도,강원도,2015,46
2016_강원도,강원도,2016,16
2017_강원도,강원도,2017,33
2018_강원도,강원도,2018,60
2019_강원도,강원도,2019,102
2010_충청북도,충청북도,2010,89
2011_충청북도,충청북도,2011,56
2012_충청북도,충청북도,2012,102
2013_충청북도,충청북도,2013,114
2014_충청북도,충청북도,2014,81
2015_충청북도,충청북도,2015,117
2016_충청북도,충청북도,2016,65
2017_충청북도,충청북도,2017,85
2018_충청북도,충청북도,2018,88
2019_충청북도,충청북도,2019,155
2010_충청남도,충청남도,2010,390
2011_충청남도,충청남도,2011,467
2012_충청남도,충청남도,2012,615
2013_충청남도,충청남도,2013,448
2014_충청남도,충청남도,2014,724
2015_충청남도,충청남도,2015,430
2016_충청남도,충청남도,2016,453
2017_충청남도,충청남도,2017,785
2018_충청남도,충청남도,2018,1233
2019_충청남도,충청남도,2019,944
2010_전라북도,전라북도,2010,1302
2011_전라북도,전라북도,2011,1306
2012_전라북도,전라북도,2012,1361
2013_전라북도,전라북도,2013,1393
2014_전라북도,전라북도,2014,1654
2015_전라북도,전라북도,2015,1352
2016_전라북도,전라북도,2016,912
2017_전라북도,전라북도,2017,1632
2018_전라북도,전라북도,2018,2646
2019_전라북도,전라북도,2019,2373
2010_전라남도,전라남도,2010,11754
2011_전라남도,전라남도,2011,12166
2012_전라남도,전라남도,2012,10715
2013_전라남도,전라남도,2013,10124
2014_전라남도,전라남도,2014,12080
2015_전라남도,전라남도,2015,9171
2016_전라남도,전라남도,2016,9521
2017_전라남도,전라남도,2017,9230
2018_전라남도,전라남도,2018,11327
2019_전라남도,전라남도,2019,8467
2010_경상북도,경상북도,2010,2695
2011_경상북도,경상북도,2011,2397
2012_경상북도,경상북도,2012,2370
2013_경상북도,경상북도,2013,2373
2014_경상북도,경상북도,2014,2602
2015_경상북도,경상북도,2015,2080
2016_경상북도,경상북도,2016,2057
2017_경상북도,경상북도,2017,2087
2018_경상북도,경상북도,2018,3369
2019_경상북도,경상북도,2019,3309
2010_경상남도,경상남도,2010,4282
2011_경상남도,경상남도,2011,4842
2012_경상남도,경상남도,2012,4493
2013_경상남도,경상남도,2013,4609
2014_경상남도,경상남도,2014,5294
2015_경상남도,경상남도,2015,3766
2016_경상남도,경상남도,2016,4749
2017_경상남도,경상남도,2017,3938
