year,양파 1 kg  /특,양파 1 kg  /상,양파 1 kg  /중,양파 1 kg  /하,양파 평균 1kg
2004,749.5833333333334,635.5,509.6666666666667,313.1666666666667,551.9791666666666
2005,767.9166666666666,630.8333333333334,510.0833333333333,305.75,553.6458333333334
2006,962.3333333333334,834.6666666666666,710.6666666666666,460.1666666666667,741.9583333333334
2007,631.5833333333334,542.5,462.25,337.75,493.5208333333333
2008,870.9166666666666,759.75,675.75,555.8333333333334,715.5625
2009,946.25,825.25,738.6666666666666,627.9166666666666,784.5208333333334
2010,1100.3333333333333,939.75,781.25,585.75,851.7708333333334
2011,959.1666666666666,805.4166666666666,684.3333333333334,522.0,742.7291666666666
2012,1125.75,903.9166666666666,723.3333333333334,488.8333333333333,810.4583333333334
2013,1422.25,1298.75,1193.75,1006.0833333333334,1230.2083333333333
2014,718.9166666666666,567.9166666666666,459.25,322.0,517.0208333333334
2015,1254.8333333333333,1099.9166666666667,963.5,716.25,1008.625
2016,1173.3333333333333,1040.5833333333333,914.25,719.75,961.9791666666666
2017,1352.9166666666667,1187.0833333333333,1043.0833333333333,809.4166666666666,1098.125
2018,981.8333333333334,784.4166666666666,576.0,365.75,677.0
2019,737.5,594.0833333333334,492.6666666666667,369.5833333333333,548.4583333333334
2020,1122.5,966.5,881.0,770.5,935.125
