year_local,area,year,총 생산량 (톤)
1981_부산광역시,부산광역시,1981,-
1982_부산광역시,부산광역시,1982,-
1983_부산광역시,부산광역시,1983,38
1984_부산광역시,부산광역시,1984,-
1985_부산광역시,부산광역시,1985,41
1986_부산광역시,부산광역시,1986,-
1987_부산광역시,부산광역시,1987,955
1988_부산광역시,부산광역시,1988,50
1989_부산광역시,부산광역시,1989,8107
1990_부산광역시,부산광역시,1990,4554
1991_부산광역시,부산광역시,1991,5629
1992_부산광역시,부산광역시,1992,7398
1993_부산광역시,부산광역시,1993,1895
1994_부산광역시,부산광역시,1994,1130
1995_부산광역시,부산광역시,1995,1515
1996_부산광역시,부산광역시,1996,121
1997_부산광역시,부산광역시,1997,1134
1998_부산광역시,부산광역시,1998,438
1999_부산광역시,부산광역시,1999,372
2000_부산광역시,부산광역시,2000,421
2001_부산광역시,부산광역시,2001,363
2002_부산광역시,부산광역시,2002,308
2003_부산광역시,부산광역시,2003,176
2004_부산광역시,부산광역시,2004,392
2005_부산광역시,부산광역시,2005,316
2006_부산광역시,부산광역시,2006,372
2007_부산광역시,부산광역시,2007,1129
2008_부산광역시,부산광역시,2008,348
2009_부산광역시,부산광역시,2009,1005
2010_부산광역시,부산광역시,2010,1146
2011_부산광역시,부산광역시,2011,444
2012_부산광역시,부산광역시,2012,819
2013_부산광역시,부산광역시,2013,1901
2014_부산광역시,부산광역시,2014,1163
2015_부산광역시,부산광역시,2015,1119
2016_부산광역시,부산광역시,2016,1564
2017_부산광역시,부산광역시,2017,621
2018_부산광역시,부산광역시,2018,1501
2019_부산광역시,부산광역시,2019,1049
1981_대구광역시,대구광역시,1981,-
1982_대구광역시,대구광역시,1982,2706
1983_대구광역시,대구광역시,1983,3536
1984_대구광역시,대구광역시,1984,338
1985_대구광역시,대구광역시,1985,981
1986_대구광역시,대구광역시,1986,344
1987_대구광역시,대구광역시,1987,2425
1988_대구광역시,대구광역시,1988,-
1989_대구광역시,대구광역시,1989,1189
1990_대구광역시,대구광역시,1990,1120
1991_대구광역시,대구광역시,1991,-
1992_대구광역시,대구광역시,1992,132
1993_대구광역시,대구광역시,1993,63
1994_대구광역시,대구광역시,1994,0
1995_대구광역시,대구광역시,1995,14308
1996_대구광역시,대구광역시,1996,6699
1997_대구광역시,대구광역시,1997,5714
1998_대구광역시,대구광역시,1998,5953
1999_대구광역시,대구광역시,1999,5091
2000_대구광역시,대구광역시,2000,4824
2001_대구광역시,대구광역시,2001,5465
2002_대구광역시,대구광역시,2002,6281
2003_대구광역시,대구광역시,2003,8253
2004_대구광역시,대구광역시,2004,11132
2005_대구광역시,대구광역시,2005,14090
2006_대구광역시,대구광역시,2006,4703
2007_대구광역시,대구광역시,2007,4846
2008_대구광역시,대구광역시,2008,6714
2009_대구광역시,대구광역시,2009,8464
2010_대구광역시,대구광역시,2010,7616
2011_대구광역시,대구광역시,2011,7370
2012_대구광역시,대구광역시,2012,5033
2013_대구광역시,대구광역시,2013,5596
2014_대구광역시,대구광역시,2014,7307
2015_대구광역시,대구광역시,2015,2727
2016_대구광역시,대구광역시,2016,15425
2017_대구광역시,대구광역시,2017,20634
2018_대구광역시,대구광역시,2018,24662
2019_대구광역시,대구광역시,2019,26244
1981_인천광역시,인천광역시,1981,-
1982_인천광역시,인천광역시,1982,-
1983_인천광역시,인천광역시,1983,-
1984_인천광역시,인천광역시,1984,-
1985_인천광역시,인천광역시,1985,-
1986_인천광역시,인천광역시,1986,-
1987_인천광역시,인천광역시,1987,-
1988_인천광역시,인천광역시,1988,-
1989_인천광역시,인천광역시,1989,-
1990_인천광역시,인천광역시,1990,-
1991_인천광역시,인천광역시,1991,-
1992_인천광역시,인천광역시,1992,0
1993_인천광역시,인천광역시,1993,41
1994_인천광역시,인천광역시,1994,0
1995_인천광역시,인천광역시,1995,366
1996_인천광역시,인천광역시,1996,440
1997_인천광역시,인천광역시,1997,497
1998_인천광역시,인천광역시,1998,657
1999_인천광역시,인천광역시,1999,319
2000_인천광역시,인천광역시,2000,838
2001_인천광역시,인천광역시,2001,222
2002_인천광역시,인천광역시,2002,686
2003_인천광역시,인천광역시,2003,255
2004_인천광역시,인천광역시,2004,698
2005_인천광역시,인천광역시,2005,987
2006_인천광역시,인천광역시,2006,732
2007_인천광역시,인천광역시,2007,1359
2008_인천광역시,인천광역시,2008,914
