year_local,area,year,10a당 생산량 (kg)
1981_부산광역시,부산광역시,1981,-
1982_부산광역시,부산광역시,1982,-
1983_부산광역시,부산광역시,1983,3800
1984_부산광역시,부산광역시,1984,-
1985_부산광역시,부산광역시,1985,4093
1986_부산광역시,부산광역시,1986,-
1987_부산광역시,부산광역시,1987,4339
1988_부산광역시,부산광역시,1988,5033
1989_부산광역시,부산광역시,1989,5099
1990_부산광역시,부산광역시,1990,4744
1991_부산광역시,부산광역시,1991,4770
1992_부산광역시,부산광역시,1992,5825
1993_부산광역시,부산광역시,1993,6114
1994_부산광역시,부산광역시,1994,4914
1995_부산광역시,부산광역시,1995,5049
1996_부산광역시,부산광역시,1996,4017
1997_부산광역시,부산광역시,1997,5968
1998_부산광역시,부산광역시,1998,4382
1999_부산광역시,부산광역시,1999,6200
2000_부산광역시,부산광역시,2000,5264
2001_부산광역시,부산광역시,2001,6045
2002_부산광역시,부산광역시,2002,6150
2003_부산광역시,부산광역시,2003,5875
2004_부산광역시,부산광역시,2004,6533
2005_부산광역시,부산광역시,2005,6320
2006_부산광역시,부산광역시,2006,6198
2007_부산광역시,부산광역시,2007,7053
2008_부산광역시,부산광역시,2008,6969
2009_부산광역시,부산광역시,2009,8375
2010_부산광역시,부산광역시,2010,7163
2011_부산광역시,부산광역시,2011,7393
2012_부산광역시,부산광역시,2012,6303
2013_부산광역시,부산광역시,2013,8265
2014_부산광역시,부산광역시,2014,7271
2015_부산광역시,부산광역시,2015,6584
2016_부산광역시,부산광역시,2016,7445
2017_부산광역시,부산광역시,2017,6082
2018_부산광역시,부산광역시,2018,4881
2019_부산광역시,부산광역시,2019,6463
1981_대구광역시,대구광역시,1981,-
1982_대구광역시,대구광역시,1982,2577
1983_대구광역시,대구광역시,1983,4476
1984_대구광역시,대구광역시,1984,4225
1985_대구광역시,대구광역시,1985,6134
1986_대구광역시,대구광역시,1986,4918
1987_대구광역시,대구광역시,1987,5388
1988_대구광역시,대구광역시,1988,-
1989_대구광역시,대구광역시,1989,6606
1990_대구광역시,대구광역시,1990,5332
1991_대구광역시,대구광역시,1991,-
1992_대구광역시,대구광역시,1992,6605
1993_대구광역시,대구광역시,1993,6325
1994_대구광역시,대구광역시,1994,0
1995_대구광역시,대구광역시,1995,6624
1996_대구광역시,대구광역시,1996,5677
1997_대구광역시,대구광역시,1997,5714
1998_대구광역시,대구광역시,1998,5616
1999_대구광역시,대구광역시,1999,5142
2000_대구광역시,대구광역시,2000,5545
2001_대구광역시,대구광역시,2001,5358
2002_대구광역시,대구광역시,2002,5608
2003_대구광역시,대구광역시,2003,5853
2004_대구광역시,대구광역시,2004,5985
2005_대구광역시,대구광역시,2005,6047
2006_대구광역시,대구광역시,2006,5598
2007_대구광역시,대구광역시,2007,6376
2008_대구광역시,대구광역시,2008,6782
2009_대구광역시,대구광역시,2009,5425
2010_대구광역시,대구광역시,2010,5181
2011_대구광역시,대구광역시,2011,5379
2012_대구광역시,대구광역시,2012,3901
2013_대구광역시,대구광역시,2013,6909
2014_대구광역시,대구광역시,2014,6089
2015_대구광역시,대구광역시,2015,4328
2016_대구광역시,대구광역시,2016,7108
2017_대구광역시,대구광역시,2017,8734
2018_대구광역시,대구광역시,2018,9368
2019_대구광역시,대구광역시,2019,8426
1981_인천광역시,인천광역시,1981,-
1982_인천광역시,인천광역시,1982,-
1983_인천광역시,인천광역시,1983,-
1984_인천광역시,인천광역시,1984,-
1985_인천광역시,인천광역시,1985,-
1986_인천광역시,인천광역시,1986,-
1987_인천광역시,인천광역시,1987,-
1988_인천광역시,인천광역시,1988,-
1989_인천광역시,인천광역시,1989,-
1990_인천광역시,인천광역시,1990,-
1991_인천광역시,인천광역시,1991,-
1992_인천광역시,인천광역시,1992,0
1993_인천광역시,인천광역시,1993,4120
1994_인천광역시,인천광역시,1994,0
1995_인천광역시,인천광역시,1995,4072
1996_인천광역시,인천광역시,1996,3998
1997_인천광역시,인천광역시,1997,4139
1998_인천광역시,인천광역시,1998,6573
1999_인천광역시,인천광역시,1999,2659
2000_인천광역시,인천광역시,2000,4653
2001_인천광역시,인천광역시,2001,2021
2002_인천광역시,인천광역시,2002,4290
2003_인천광역시,인천광역시,2003,3645
2004_인천광역시,인천광역시,2004,4653
2005_인천광역시,인천광역시,2005,3796
2006_인천광역시,인천광역시,2006,3326
