year_local,area,year,1월 이산화질소,2월 이산화질소,3월 이산화질소,4월 이산화질소,5월 이산화질소,6월 이산화질소,7월 이산화질소,8월 이산화질소,9월 이산화질소,10월 이산화질소,11월 이산화질소,12월 이산화질소
2010_부산광역시,부산광역시,2010,0.024,0.022,0.018,0.022,0.021,0.022,0.017,0.015,0.017,0.019,0.029,0.025
2011_부산광역시,부산광역시,2011,0.019,0.027,0.022,0.019,0.02,0.02,0.016,0.015,0.016,0.021,0.021,0.02
2012_부산광역시,부산광역시,2012,0.02,0.023,0.021,0.022,0.024,0.017,0.019,0.013,0.018,0.023,0.022,0.024
2013_부산광역시,부산광역시,2013,0.027,0.025,0.024,0.02,0.024,0.021,0.017,0.019,0.015,0.018,0.02,0.022
2014_부산광역시,부산광역시,2014,0.024,0.02,0.02,0.023,0.021,0.018,0.017,0.015,0.016,0.018,0.024,0.021
2015_부산광역시,부산광역시,2015,0.022,0.02,0.021,0.019,0.025,0.019,0.016,0.018,0.015,0.021,0.023,0.025
2016_부산광역시,부산광역시,2016,0.024,0.023,0.026,0.024,0.023,0.019,0.017,0.015,0.016,0.018,0.024,0.026
2017_부산광역시,부산광역시,2017,0.024,0.021,0.022,0.021,0.021,0.018,0.017,0.013,0.017,0.016,0.025,0.023
2018_부산광역시,부산광역시,2018,0.022,0.022,0.021,0.019,0.018,0.019,0.016,0.012,0.014,0.019,0.027,0.023
2019_부산광역시,부산광역시,2019,0.024,0.022,0.02,0.019,0.021,0.016,,NaN,NaN,NaN,NaN,NaN
2010_대구광역시,대구광역시,2010,0.031,0.028,0.024,0.025,0.021,0.021,0.015,0.017,0.021,0.026,0.037,0.034
2011_대구광역시,대구광역시,2011,0.024,0.036,0.026,0.024,0.023,0.022,0.015,0.015,0.019,0.031,0.029,0.028
2012_대구광역시,대구광역시,2012,0.028,0.027,0.023,0.02,0.02,0.012,0.012,0.011,0.018,0.026,0.026,0.028
2013_대구광역시,대구광역시,2013,0.034,0.03,0.027,0.022,0.019,0.016,0.012,0.015,0.017,0.023,0.029,0.032
