year_local,area,year,1월 오존,2월 오존,3월 오존,4월 오존,5월 오존,6월 오존,7월 오존,8월 오존,9월 오존,10월 오존,11월 오존,12월 오존
2010_부산광역시,부산광역시,2010,0.021,0.024,0.031,0.033,0.036,0.035,0.022,0.02,0.024,0.029,0.02,0.018
2011_부산광역시,부산광역시,2011,0.023,0.024,0.032,0.038,0.033,0.031,0.02,0.025,0.028,0.027,0.02,0.019
2012_부산광역시,부산광역시,2012,0.022,0.022,0.033,0.038,0.041,0.034,0.026,0.027,0.032,0.028,0.022,0.018
2013_부산광역시,부산광역시,2013,0.022,0.025,0.034,0.04,0.04,0.032,0.024,0.029,0.028,0.028,0.023,0.02
2014_부산광역시,부산광역시,2014,0.021,0.027,0.033,0.037,0.043,0.036,0.029,0.027,0.03,0.028,0.02,0.02
2015_부산광역시,부산광역시,2015,0.02,0.026,0.032,0.036,0.038,0.036,0.028,0.033,0.031,0.028,0.02,0.018
2016_부산광역시,부산광역시,2016,0.022,0.027,0.031,0.038,0.045,0.036,0.025,0.036,0.03,0.025,0.02,0.018
2017_부산광역시,부산광역시,2017,0.024,0.031,0.022,0.042,0.044,0.041,0.028,0.027,0.033,0.03,0.023,0.02
2018_부산광역시,부산광역시,2018,0.021,0.027,0.034,0.039,0.039,0.038,0.026,0.025,0.031,0.028,0.02,0.019
2019_부산광역시,부산광역시,2019,0.023,0.029,0.039,0.037,0.048,0.038,NaN,NaN,NaN,NaN,NaN,NaN
2010_대구광역시,대구광역시,2010,0.014,0.018,0.025,0.03,0.034,0.039,0.022,0.022,0.018,0.016,0.013,0.013
2011_대구광역시,대구광역시,2011,0.019,0.017,0.029,0.039,0.038,0.041,0.021,0.021,0.026,0.018,0.015,0.014
2012_대구광역시,대구광역시,2012,0.016,0.02,0.032,0.038,0.04,0.037,0.028,0.026,0.025,0.018,0.015,0.013
2013_대구광역시,대구광역시,2013,0.015,0.019,0.029,0.036,0.042,0.038,0.026,0.028,0.024,0.019,0.014,0.013
2014_대구광역시,대구광역시,2014,0.014,0.021,0.028,0.036,0.046,0.041,0.032,0.025,0.026,0.018,0.012,0.014
2015_대구광역시,대구광역시,2015,0.013,0.019,0.027,0.034,0.044,0.042,0.03,0.031,0.025,0.023,0.014,0.011
2016_대구광역시,대구광역시,2016,0.015,0.022,0.028,0.035,0.042,0.037,0.028,0.033,0.025,0.018,0.013,0.012
2017_대구광역시,대구광역시,2017,0.028,0.024,0.024,0.04,0.044,0.047,0.031,0.028,0.029,0.020,0.016,0.015
2018_대구광역시,대구광역시,2018,0.017,0.023,0.03,0.038,0.041,0.043,0.03,0.026,0.025,0.02,0.012,0.013
2019_대구광역시,대구광역시,2019,0.017,0.024,0.036,0.036,0.048,0.044,NaN,NaN,NaN,NaN,NaN,NaN
2010_인천광역시,인천광역시,2010,0.014,0.018,0.025,0.027,0.029,0.032,0.021,0.019,0.018,0.018,0.016,0.013
2011_인천광역시,인천광역시,2011,0.017,0.016,0.027,0.028,0.028,0.031,0.019,0.02,0.025,0.02,0.014,0.013
2012_인천광역시,인천광역시,2012,0.016,0.02,0.027,0.03,0.036,0.035,0.021,0.026,0.026,0.022,0.015,0.014
