,year_local,area,year,6가크롬 Cr6+,구리 Cu,납 Pb,니켈 Ni,비소 As,수소이온농도 pH,수은 Hg,시안 CN,아연 Zn,카드뮴 Cd
0,2009_강원도,강원도,2009,0.0166385,1.825236,3.5657455,4.7208,0.2225515,3.441,0.020646,0.0018725,28.3605395,0.035018
1,2009_경기도,경기도,2009,0.0155,1.512,3.1725,4.004,0.1825,3,0.018,0.0015,24.9225,0.568
2,2009_경상남도,경상남도,2009,0.0226615,18.1599145,5.588024,8.3595855,0.424772,5.694,0.034164,0.003748,45.965821,1.082569
3,2009_경상북도,경상북도,2009,0.0207245,16.1324795,4.93226,7.1751085,4.3471525,4.962,0.029772,0.003136,40.249795,0.942747
4,2009_광주광역시,광주광역시,2009,0.0181415,15.197822,4.7208565,7.344918,4.302321,4.899,0.0272235,0.0034055,39.2797385,0.932324
5,2009_대구광역시,대구광역시,2009,0.021825,17.501556,21.597097,8.062852,4.814662,5.49,0.030109,0.003617,44.314127,1.0438
6,2009_대전광역시,대전광역시,2009,0.129918,11.9330065,14.399518,5.0456455,3.1230055,3.57,0.019111,0.002118,29.163603,0.677585
7,2009_부산광역시,부산광역시,2009,0.1005,10.688,12.5255,4.004,2.615,3,0.0155,0.0015,36.4335,0.568
8,2009_울산광역시,울산광역시,2009,0.1005,10.688,12.5255,8.8505,2.615,3,0.0155,0.0015,36.4335,0.568
9,2009_인천광역시,인천광역시,2009,0.1005,10.688,12.5255,8.8505,2.615,3,0.0155,0.0015,36.4335,0.568
10,2009_전라남도,전라남도,2009,0.1219345,12.0455455,14.3195595,9.9373025,3.0467055,3.489,0.0183525,0.0019075,41.526109,0.661399
11,2009_전라북도,전라북도,2009,0.171804,15.1996875,18.489504,12.462102,4.0505205,4.626,0.024987,0.004083,53.3620155,0.878571
12,2009_제주도,제주도,2009,0.1005,10.688,12.5255,8.8505,2.615,3,0.0155,0.003,36.4335,0.568
