,카드뮴 Cd,구리 Cu,비소 As,수은 Hg,납 Pb,6가크롬 Cr6+,아연 Zn,니켈 Ni,불소 F,유기인,폴리클로리네이티드비페닐 PCB,시안 CN,페놀류,유류,트리클로로에틸렌 TCE,테트라클로로에틸렌 PCE,수소이온농도 pH
1975_강원도,0.046661,13.4487365,2.7085425,0.019909999999999997,9.327629000000002,0.158461,44.53289,9.7297745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3044080000000005
1975_경기도,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
1975_경상남도,0.06988499999999999,18.5812605,4.0413465,0.028025999999999995,13.923926999999999,0.204903,64.97325000000001,14.6472525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.980600000000001
1975_경상북도,0.07009699999999999,18.6184625,4.053418499999999,0.028089,13.965598499999999,0.2051265,65.14918,14.692604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.996096
1975_광주광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975_대구광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975_대전광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975_부산광역시,0.06745000000000001,17.412025,3.895425,0.02645,13.423325,0.186925,62.133,14.1619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8176000000000005
1975_서울특별시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975_세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975_울산광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975_인천광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975_전라남도,0.059781,16.356976500000002,3.4615725,0.024505,11.9244865,0.1848785,56.08994,12.507401999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.251168
1975_전라북도,0.055135,15.326393500000002,3.1949055,0.022877,11.004876500000002,0.1755085,51.9966,11.523835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9159200000000003
1975_제주도,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
1975_충청남도,0.048385,13.8415105,2.8075965000000003,0.020526,9.669177,0.162153,46.063250000000004,10.0942525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4286000000000003
1975_충청북도,0.050848,13.329376,2.938602,0.020173,10.1253505,0.1451345,47.06407,10.6663885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.627704
